code;protein
IFNGR2;Interferon gamma receptor 2
IFNL1;Interferon lambda-1
IFNL2;Interferon lambda-2
IFNLR1;Interferon lambda receptor 1
IFNW1;Interferon omega-1
IFT20;Intraflagellar transport protein 20 homolog
IGBP1;Immunoglobulin-binding protein 1
IGDCC3;Immunoglobulin superfamily DCC subclass member 3
IGDCC4;Immunoglobulin superfamily DCC subclass member 4
IGF1R;Insulin-like growth factor 1 receptor
IGF2BP3;Insulin-like growth factor 2 mRNA-binding protein 3
IGF2R;Cation-independent mannose-6-phosphate receptor
IGFBP1;Insulin-like growth factor-binding protein 1
IGFBP2;Insulin-like growth factor-binding protein 2
IGFBP3;Insulin-like growth factor-binding protein 3
IGFBP4;Insulin-like growth factor-binding protein 4
IGFBP6;Insulin-like growth factor-binding protein 6
IGFBP7;Insulin-like growth factor-binding protein 7
IGFBPL1;Insulin-like growth factor-binding protein-like 1
IGFL4;Insulin growth factor-like family member 4
IGHMBP2;DNA-binding protein SMUBP-2
IGLC2;Immunoglobulin lambda constant 2
IGLON5;IgLON family member 5
IGSF21;Immunoglobulin superfamily member 21
IGSF3;Immunoglobulin superfamily member 3
IGSF8;Immunoglobulin superfamily member 8
IGSF9;Protein turtle homolog A
IKBKG;NF-kappa-B essential modulator
IKZF2;Zinc finger protein Helios
IL10;Interleukin-10
IL10RA;Interleukin-10 receptor subunit alpha
IL10RB;Interleukin-10 receptor subunit beta
IL11;Interleukin-11
IL12A_IL12B;Interleukin-12
IL12B;Interleukin-12 subunit beta
IL12RB1;Interleukin-12 receptor subunit beta-1
IL12RB2;Interleukin-12 receptor subunit beta-2
IL13;Interleukin-13
IL13RA1;Interleukin-13 receptor subunit alpha-1
IL13RA2;Interleukin-13 receptor subunit alpha-2
IL15;Interleukin-15
IL15RA;Interleukin-15 receptor subunit alpha
IL16;Pro-interleukin-16
IL17A;Interleukin-17A
IL17C;Interleukin-17C
IL17D;Interleukin-17D
IL17F;Interleukin-17F
IL17RA;Interleukin-17 receptor A
IL17RB;Interleukin-17 receptor B
IL18;Interleukin-18
IL18BP;Interleukin-18-binding protein
IL18R1;Interleukin-18 receptor 1
IL18RAP;Interleukin-18 receptor accessory protein
IL19;Interleukin-19
IL1A;Interleukin-1 alpha
IL1B;Interleukin-1 beta
IL1R1;Interleukin-1 receptor type 1
IL1R2;Interleukin-1 receptor type 2
IL1RAP;Interleukin-1 receptor accessory protein
IL1RL1;Interleukin-1 receptor-like 1
IL1RL2;Interleukin-1 receptor-like 2
IL1RN;Interleukin-1 receptor antagonist protein
IL2;Interleukin-2
IL20;Interleukin-20
IL20RA;Interleukin-20 receptor subunit alpha
IL20RB;Interleukin-20 receptor subunit beta
IL21R;Interleukin-21 receptor
IL22;Interleukin-22
IL22RA1;Interleukin-22 receptor subunit alpha-1
IL24;Interleukin-24
IL25;Interleukin-25
IL2RA;Interleukin-2 receptor subunit alpha
IL2RB;Interleukin-2 receptor subunit beta
IL2RG;Cytokine receptor common subunit gamma
IL3;Interleukin-3
IL31;Interleukin-31
IL31RA;Interleukin-31 receptor subunit alpha
IL32;Interleukin-32
IL33;Interleukin-33
IL34;Interleukin-34
IL36A;Interleukin-36 alpha
IL36G;Interleukin-36 gamma
IL3RA;Interleukin-3 receptor subunit alpha
IL4;Interleukin-4
IL4R;Interleukin-4 receptor subunit alpha
IL5;Interleukin-5
IL5RA;Interleukin-5 receptor subunit alpha
IL6;Interleukin-6
IL6R;Interleukin-6 receptor subunit alpha
IL6ST;Interleukin-6 receptor subunit beta
IL7;Interleukin-7
IL7R;Interleukin-7 receptor subunit alpha
IL9;Interleukin-9
ILKAP;Integrin-linked kinase-associated serine/threonine phosphatase 2C
IMMT;MICOS complex subunit MIC60
IMPA1;Inositol monophosphatase 1
IMPACT;Protein IMPACT
IMPG1;Interphotoreceptor matrix proteoglycan 1
ING1;Inhibitor of growth protein 1
INHBB;Inhibin beta B chain
INHBC;Inhibin beta C chain
INPP1;Inositol polyphosphate 1-phosphatase
"INPP5D;Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1"
"INPP5J;Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A"
"INPPL1;Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2"
INSL3;Insulin-like 3
INSL4;Early placenta insulin-like peptide
INSL5;Insulin-like peptide INSL5
INSR;Insulin receptor
IPCEF1;Interactor protein for cytohesin exchange factors 1
IQGAP2;Ras GTPase-activating-like protein IQGAP2
"IRAG2;Inositol 1,4,5-triphosphate receptor associated 2"
IRAK1;Interleukin-1 receptor-associated kinase 1
IRAK4;Interleukin-1 receptor-associated kinase 4
ISLR2;Immunoglobulin superfamily containing leucine-rich repeat protein 2
ISM1;Isthmin-1
ISM2;Isthmin-2
IST1;IST1 homolog
ITGA11;Integrin alpha-11
ITGA2;Integrin alpha-2
ITGA5;Integrin alpha-5
ITGA6;Integrin alpha-6
ITGAL;Integrin alpha-L
ITGAM;Integrin alpha-M
ITGAV;Integrin alpha-V
ITGAX;Integrin alpha-X
ITGB1;Integrin beta-1
ITGB1BP1;Integrin beta-1-binding protein 1
ITGB1BP2;Integrin beta-1-binding protein 2
ITGB2;Integrin beta-2
ITGB5;Integrin beta-5
ITGB6;Integrin beta-6
ITGB7;Integrin beta-7
ITGBL1;Integrin beta-like protein 1
ITIH1;Inter-alpha-trypsin inhibitor heavy chain H1
ITIH3;Inter-alpha-trypsin inhibitor heavy chain H3
ITIH4;Inter-alpha-trypsin inhibitor heavy chain H4
ITIH5;Inter-alpha-trypsin inhibitor heavy chain H5
ITM2A;Integral membrane protein 2A
ITPA;Inosine triphosphate pyrophosphatase
"ITPR1;Inositol 1,4,5-trisphosphate receptor type 1"
"ITPRIP;Inositol 1,4,5-trisphosphate receptor-interacting protein"
"IVD;Isovaleryl-CoA dehydrogenase, mitochondrial"
IZUMO1;Izumo sperm-egg fusion protein 1
JAM2;Junctional adhesion molecule B
JAM3;Junctional adhesion molecule C
JCHAIN;Immunoglobulin J chain
JMJD1C;Probable JmjC domain-containing histone demethylation protein 2C
JPT2;Jupiter microtubule associated homolog 2
JUN;Transcription factor AP-1
KAZALD1;Kazal-type serine protease inhibitor domain-containing protein 1
KAZN;Kazrin
KCNC4;Potassium voltage-gated channel subfamily C member 4
KCNH2;Potassium voltage-gated channel subfamily H member 2
KCNIP4;Kv channel-interacting protein 4
KCTD5;BTB/POZ domain-containing protein KCTD5
KDM3A;Lysine-specific demethylase 3A
KDR;Vascular endothelial growth factor receptor 2
KEL;Kell blood group glycoprotein
KHDC3L;KH domain-containing protein 3
KHK;Ketohexokinase
KIAA0319;Dyslexia-associated protein KIAA0319
KIAA1549;UPF0606 protein KIAA1549
KIAA1549L;UPF0606 protein KIAA1549L
KIAA2013;Uncharacterized protein KIAA2013
KIF1C;Kinesin-like protein KIF1C
KIF20B;Kinesin-like protein KIF20B
KIF22;Kinesin-like protein KIF22
KIFBP;KIF-binding protein
KIR2DL2;Killer cell immunoglobulin-like receptor 2DL2
KIR2DL3;Killer cell immunoglobulin-like receptor 2DL3
KIR2DS4;Killer cell immunoglobulin-like receptor 2DS4
KIR3DL1;Killer cell immunoglobulin-like receptor 3DL1
KIR3DL2;Killer cell immunoglobulin-like receptor 3DL2
KIRREL1;Kin of IRRE-like protein 1
KIRREL2;Kin of IRRE-like protein 2
KIT;Mast/stem cell growth factor receptor Kit
KITLG;Kit ligand
KLB;Beta-klotho
KLF4;Krueppel-like factor 4
KLHL41;Kelch-like protein 41
KLK1;Kallikrein-1
KLK10;Kallikrein-10
KLK11;Kallikrein-11
KLK12;Kallikrein-12
KLK13;Kallikrein-13
KLK14;Kallikrein-14
KLK15;Kallikrein-15
KLK3;Prostate-specific antigen
KLK4;Kallikrein-4
KLK6;Kallikrein-6
KLK7;Kallikrein-7
KLK8;Kallikrein-8
KLKB1;Plasma kallikrein
KLRB1;Killer cell lectin-like receptor subfamily B member 1
KLRC1;NKG2-A/NKG2-B type II integral membrane protein
KLRD1;Natural killer cells antigen CD94
KLRF1;Killer cell lectin-like receptor subfamily F member 1
KLRK1;NKG2-D type II integral membrane protein
"KRT14;Keratin, type I cytoskeletal 14"
"KRT17;Keratin, type I cytoskeletal 17"
"KRT18;Keratin, type I cytoskeletal 18"
"KRT19;Keratin, type I cytoskeletal 19"
"KRT5;Keratin, type II cytoskeletal 5"
"KRT6C;Keratin, type II cytoskeletal 6C"
"KRT8;Keratin, type II cytoskeletal 8"
KYAT1;Kynurenine--oxoglutarate transaminase 1
KYNU;Kynureninase
L1CAM;Neural cell adhesion molecule L1
L3HYPDH;Trans-3-hydroxy-L-proline dehydratase
LACRT;Extracellular glycoprotein lacritin
LACTB2;Endoribonuclease LACTB2
LAG3;Lymphocyte activation gene 3 protein
LAIR1;Leukocyte-associated immunoglobulin-like receptor 1
LAIR2;Leukocyte-associated immunoglobulin-like receptor 2
LAMA1;Laminin subunit alpha-1
LAMA4;Laminin subunit alpha-4
LAMB1;Laminin subunit beta-1
LAMP1;Lysosome-associated membrane glycoprotein 1
LAMP2;Lysosome-associated membrane glycoprotein 2
LAMP3;Lysosome-associated membrane glycoprotein 3
LAMTOR5;Ragulator complex protein LAMTOR5
LAP3;Cytosol aminopeptidase
LARP1;La-related protein 1
LAT;Linker for activation of T-cells family member 1
LAT2;Linker for activation of T-cells family member 2
LATS1;Serine/threonine-protein kinase LATS1
LAYN;Layilin
LBP;Lipopolysaccharide-binding protein
LBR;Delta(14)-sterol reductase LBR
LCAT;Phosphatidylcholine-sterol acyltransferase
LCN15;Lipocalin-15
LCN2;Neutrophil gelatinase-associated lipocalin
LCP1;Plastin-2
LDLR;Low-density lipoprotein receptor
LDLRAP1;Low density lipoprotein receptor adapter protein 1
LECT2;Leukocyte cell-derived chemotaxin-2
LEFTY2;Left-right determination factor 2
LEG1;Protein LEG1 homolog
LELP1;Late cornified envelope-like proline-rich protein 1
LEO1;RNA polymerase-associated protein LEO1
LEP;Leptin
LEPR;Leptin receptor
LETM1;Mitochondrial proton/calcium exchanger protein
LGALS1;Galectin-1
LGALS3;Galectin-3
LGALS3BP;Galectin-3-binding protein
LGALS4;Galectin-4
LGALS7_LGALS7B;Galectin-7
LGALS8;Galectin-8
LGALS9;Galectin-9
LGMN;Legumain
LHB;Lutropin subunit beta
LHPP;Phospholysine phosphohistidine inorganic pyrophosphate phosphatase
LIF;Leukemia inhibitory factor
LIFR;Leukemia inhibitory factor receptor
LILRA2;Leukocyte immunoglobulin-like receptor subfamily A member 2
LILRA3;Leukocyte immunoglobulin-like receptor subfamily A member 3
LILRA4;Leukocyte immunoglobulin-like receptor subfamily A member 4
LILRA5;Leukocyte immunoglobulin-like receptor subfamily A member 5
LILRA6;Leukocyte immunoglobulin-like receptor subfamily A member 6
LILRB1;Leukocyte immunoglobulin-like receptor subfamily B member 1
LILRB2;Leukocyte immunoglobulin-like receptor subfamily B member 2
LILRB4;Leukocyte immunoglobulin-like receptor subfamily B member 4
LILRB5;Leukocyte immunoglobulin-like receptor subfamily B member 5
LIPF;Gastric triacylglycerol lipase
LMNB1;Lamin-B1
LMNB2;Lamin-B2
LMOD1;Leiomodin-1
LMOD2;Leiomodin-2
"LONP1;Lon protease homolog, mitochondrial"
LPA;Apolipoprotein(a)
LPCAT2;Lysophosphatidylcholine acyltransferase 2
LPL;Lipoprotein lipase
LPO;Lactoperoxidase
LPP;Lipoma-preferred partner
LRCH4;Leucine-rich repeat and calponin homology domain-containing protein 4
LRFN2;Leucine-rich repeat and fibronectin type-III domain-containing protein 2
LRG1;Leucine-rich alpha-2-glycoprotein
LRIG1;Leucine-rich repeats and immunoglobulin-like domains protein 1
LRIG3;Leucine-rich repeats and immunoglobulin-like domains protein 3
LRP1;Prolow-density lipoprotein receptor-related protein 1
LRP11;Low-density lipoprotein receptor-related protein 11
LRP2;Low-density lipoprotein receptor-related protein 2
LRP2BP;LRP2-binding protein
LRPAP1;Alpha-2-macroglobulin receptor-associated protein
LRRC25;Leucine-rich repeat-containing protein 25
LRRC37A2;Leucine-rich repeat-containing protein 37A2
LRRC38;Leucine-rich repeat-containing protein 38
LRRC59;Leucine-rich repeat-containing protein 59
LRRFIP1;Leucine-rich repeat flightless-interacting protein 1
LRRN1;Leucine-rich repeat neuronal protein 1
LRTM1;Leucine-rich repeat and transmembrane domain-containing protein 1
LRTM2;Leucine-rich repeat and transmembrane domain-containing protein 2
LSM1;U6 snRNA-associated Sm-like protein LSm1
LSM8;U6 snRNA-associated Sm-like protein LSm8
LSP1;Lymphocyte-specific protein 1
LTA;Lymphotoxin-alpha
LTA4H;Leukotriene A-4 hydrolase
LTB;Lymphotoxin-beta
LTBP2;Latent-transforming growth factor beta-binding protein 2
LTBP3;Latent-transforming growth factor beta-binding protein 3
LTBR;Tumor necrosis factor receptor superfamily member 3
LTO1;Protein LTO1 homolog
LUZP2;Leucine zipper protein 2
LXN;Latexin
LY6D;Lymphocyte antigen 6D
LY75;Lymphocyte antigen 75
LY9;T-lymphocyte surface antigen Ly-9
LY96;Lymphocyte antigen 96
LYAR;Cell growth-regulating nucleolar protein
LYN;Tyrosine-protein kinase Lyn
LYPD1;Ly6/PLAUR domain-containing protein 1
LYPD3;Ly6/PLAUR domain-containing protein 3
LYPD8;Ly6/PLAUR domain-containing protein 8
LYPLA2;Acyl-protein thioesterase 2
LYSMD3;LysM and putative peptidoglycan-binding domain-containing protein 3
LYVE1;Lymphatic vessel endothelial hyaluronic acid receptor 1
LYZL2;Lysozyme-like protein 2
LZTFL1;Leucine zipper transcription factor-like protein 1
M6PR;Cation-dependent mannose-6-phosphate receptor
MAD1L1;Mitotic spindle assembly checkpoint protein MAD1
MAEA;E3 ubiquitin-protein transferase MAEA
MAG;Myelin-associated glycoprotein
MAGEA3;Melanoma-associated antigen 3
MAGED1;Melanoma-associated antigen D1
MAMDC2;MAM domain-containing protein 2
MAMDC4;Apical endosomal glycoprotein
"MAN1A2;Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB"
MAN2B2;Epididymis-specific alpha-mannosidase
"MANEAL;Glycoprotein endo-alpha-1,2-mannosidase-like protein"
MANF;Mesencephalic astrocyte-derived neurotrophic factor
MANSC1;MANSC domain-containing protein 1
MANSC4;MANSC domain-containing protein 4
MAP1LC3A;Microtubule-associated proteins 1A/1B light chain 3A
MAP1LC3B2;Microtubule-associated proteins 1A/1B light chain 3 beta 2
MAP2;Microtubule-associated protein 2
MAP2K1;Dual specificity mitogen-activated protein kinase kinase 1
MAP2K6;Dual specificity mitogen-activated protein kinase kinase 6
MAP3K5;Mitogen-activated protein kinase kinase kinase 5
MAP4K5;Mitogen-activated protein kinase kinase kinase kinase 5
MAPK13;Mitogen-activated protein kinase 13
MAPK9;Mitogen-activated protein kinase 9
MAPKAPK2;MAP kinase-activated protein kinase 2
MAPRE3;Microtubule-associated protein RP/EB family member 3
MAPT;Microtubule-associated protein tau
MARCO;Macrophage receptor MARCO
"MARS1;Methionine--tRNA ligase, cytoplasmic"
MASP1;Mannan-binding lectin serine protease 1
MATN2;Matrilin-2
MATN3;Matrilin-3
MAVS;Mitochondrial antiviral-signaling protein
MAX;Protein max
MB;Myoglobin
MBL2;Mannose-binding protein C
MCAM;Cell surface glycoprotein MUC18
"MCEE;Methylmalonyl-CoA epimerase, mitochondrial"
MCEMP1;Mast cell-expressed membrane protein 1
MCFD2;Multiple coagulation factor deficiency protein 2
MCTS1;Malignant T-cell-amplified sequence 1
MDGA1;MAM domain-containing glycosylphosphatidylinositol anchor protein 1
"MDH1;Malate dehydrogenase, cytoplasmic"
MDK;Midkine
MDM1;Nuclear protein MDM1
"MECR;Enoyl-[acyl-carrier-protein] reductase, mitochondrial"
MED18;Mediator of RNA polymerase II transcription subunit 18
MED21;Mediator of RNA polymerase II transcription subunit 21
MEGF10;Multiple epidermal growth factor-like domains protein 10
MEGF11;Multiple epidermal growth factor-like domains protein 11
MEGF9;Multiple epidermal growth factor-like domains protein 9
MELTF;Melanotransferrin
MENT;Protein MENT
MEP1A;Meprin A subunit alpha
MEP1B;Meprin A subunit beta
MEPE;Matrix extracellular phosphoglycoprotein
MERTK;Tyrosine-protein kinase Mer
MESD;LRP chaperone MESD
MET;Hepatocyte growth factor receptor
METAP1;Methionine aminopeptidase 1
"METAP1D;Methionine aminopeptidase 1D, mitochondrial"
METAP2;Methionine aminopeptidase 2
MFAP3;Microfibril-associated glycoprotein 3
MFAP3L;Microfibrillar-associated protein 3-like
MFAP4;Microfibril-associated glycoprotein 4
MFAP5;Microfibrillar-associated protein 5
MFGE8;Lactadherin
MGLL;Monoglyceride lipase
MGMT;Methylated-DNA--protein-cysteine methyltransferase
MIA;Melanoma-derived growth regulatory protein
MICALL2;MICAL-like protein 2
MICB_MICA;MHC class I polypeptide-related sequence A_MHC class I polypeptide-related sequence B
MIF;Macrophage migration inhibitory factor
MILR1;Allergin-1
MINDY1;Ubiquitin carboxyl-terminal hydrolase MINDY-1
MINK1;Misshapen-like kinase 1
MITD1;MIT domain-containing protein 1
MKI67;Proliferation marker protein Ki-67
MLLT1;Protein ENL
MLN;Promotilin
MME;Neprilysin
MMP1;Interstitial collagenase
MMP10;Stromelysin-2
MMP12;Macrophage metalloelastase
MMP13;Collagenase 3
MMP15;Matrix metalloproteinase-15
MMP3;Stromelysin-1
MMP7;Matrilysin
MMP8;Neutrophil collagenase
MMP9;Matrix metalloproteinase-9
"MMUT;Methylmalonyl-CoA mutase, mitochondrial"
MN1;Transcriptional activator MN1
MNAT1;CDK-activating kinase assembly factor MAT1
MNDA;Myeloid cell nuclear differentiation antigen
MOCS2;Molybdopterin synthase catalytic subunit
MOG;Myelin-oligodendrocyte glycoprotein
MORC3;MORC family CW-type zinc finger protein 3
MORF4L1;Mortality factor 4-like protein 1
MORF4L2;Mortality factor 4-like protein 2
MORN4;MORN repeat-containing protein 4
MPHOSPH8;M-phase phosphoprotein 8
MPI;Mannose-6-phosphate isomerase
MPIG6B;Megakaryocyte and platelet inhibitory receptor G6b
MPO;Myeloperoxidase
MPRIP;Myosin phosphatase Rho-interacting protein
MRC1;Macrophage mannose receptor 1
MRI1;Methylthioribose-1-phosphate isomerase
"MRPL24;39S ribosomal protein L24, mitochondrial"
"MRPL28;39S ribosomal protein L28, mitochondrial"
"MRPL46;39S ribosomal protein L46, mitochondrial"
"MRPL52;39S ribosomal protein L52, mitochondrial"
"MRPL58;Peptidyl-tRNA hydrolase ICT1, mitochondrial"
"MRPS16;28S ribosomal protein S16, mitochondrial"
MSLN;Mesothelin
MSLNL;Mesothelin-like protein
MSMB;Beta-microseminoprotein
MSR1;Macrophage scavenger receptor types I and II
MSRA;Mitochondrial peptide methionine sulfoxide reductase
MST1;Hepatocyte growth factor-like protein
MSTN;Growth/differentiation factor 8
MTDH;Protein LYRIC
"MTHFD2;Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial"
MTHFSD;Methenyltetrahydrofolate synthase domain-containing protein
"MTIF3;Translation initiation factor IF-3, mitochondrial"
MTPN;Myotrophin
MTR;Methionine synthase
MTSS1;Protein MTSS 1
MTSS2;Protein MTSS 2
MTUS1;Microtubule-associated tumor suppressor 1
MUC13;Mucin-13
MUC16;Mucin-16
MUC2;Mucin-2
MUCL3;Mucin-like protein 3
MVK;Mevalonate kinase
MXRA8;Matrix remodeling-associated protein 8
"MYBPC1;Myosin-binding protein C, slow-type"
"MYBPC2;Myosin-binding protein C, fast-type"
MYCBP2;E3 ubiquitin-protein ligase MYCBP2
MYDGF;Myeloid-derived growth factor
MYH4;Myosin-4
MYH7B;Myosin-7B
MYH9;Myosin-9
"MYL1;Myosin light chain 1/3, skeletal muscle isoform"
MYL3;Myosin light chain 3
MYL4;Myosin light chain 4
MYL6B;Myosin light chain 6B
"MYLPF;Myosin regulatory light chain 2, skeletal muscle isoform"
MYO6;Unconventional myosin-VI
MYO9B;Unconventional myosin-IXb
MYOC;Myocilin
MYOM1;Myomesin-1
MYOM2;Myomesin-2
MYOM3;Myomesin-3
MZB1;Marginal zone B- and B1-cell-specific protein
MZT1;Mitotic-spindle organizing protein 1
NAA10;N-alpha-acetyltransferase 10
NAA80;N-alpha-acetyltransferase 80
NAAA;N-acylethanolamine-hydrolyzing acid amidase
NACC1;Nucleus accumbens-associated protein 1
NADK;NAD kinase
NAGA;Alpha-N-acetylgalactosaminidase
NAGK;N-acetyl-D-glucosamine kinase
NAGPA;N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
NAMPT;Nicotinamide phosphoribosyltransferase
NAP1L4;Nucleosome assembly protein 1-like 4
NAPRT;Nicotinate phosphoribosyltransferase
"NARS1;Asparagine--tRNA ligase, cytoplasmic"
NBL1;Neuroblastoma suppressor of tumorigenicity 1
NBN;Nibrin
NCAM1;Neural cell adhesion molecule 1
NCAM2;Neural cell adhesion molecule 2
NCAN;Neurocan core protein
NCF2;Neutrophil cytosol factor 2
NCK2;Cytoplasmic protein NCK2
NCLN;Nicalin
NCR1;Natural cytotoxicity triggering receptor 1
NCR3LG1;Natural cytotoxicity triggering receptor 3 ligand 1
NCS1;Neuronal calcium sensor 1
NDRG1;Protein NDRG1
NDST1;Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1
NDUFA5;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5
NDUFB7;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7
"NDUFS6;NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial"
NEB;Nebulin
NECAP2;Adaptin ear-binding coat-associated protein 2
NECTIN1;Nectin-1
NECTIN2;Nectin-2
NECTIN4;Nectin-4
NEDD4L;E3 ubiquitin-protein ligase NEDD4-like
NEDD9;Enhancer of filamentation 1
NEFL;Neurofilament light polypeptide
NEK7;Serine/threonine-protein kinase Nek7
NELL1;Protein kinase C-binding protein NELL1
NELL2;Protein kinase C-binding protein NELL2
NENF;Neudesin
NEO1;Neogenin
NEXN;Nexilin
NFASC;Neurofascin
NFAT5;Nuclear factor of activated T-cells 5
"NFATC1;Nuclear factor of activated T-cells, cytoplasmic 1"
"NFATC3;Nuclear factor of activated T-cells, cytoplasmic 3"
NFE2;Transcription factor NF-E2 45 kDa subunit
NFIC;Nuclear factor 1 C-type
NFKB1;Nuclear factor NF-kappa-B p105 subunit
NFKB2;Nuclear factor NF-kappa-B p100 subunit
NFKBIE;NF-kappa-B inhibitor epsilon
"NFU1;NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"
NFX1;Transcriptional repressor NF-X1
NFYA;Nuclear transcription factor Y subunit alpha
NGF;Beta-nerve growth factor
NGFR;Tumor necrosis factor receptor superfamily member 16
NGRN;Neugrin
NHLRC3;NHL repeat-containing protein 3
NID1;Nidogen-1
NID2;Nidogen-2
NINJ1;Ninjurin-1
NIT1;Deaminated glutathione amidase
NIT2;Omega-amidase NIT2
NLGN1;Neuroligin-1
NLGN2;Neuroligin-2
NME1;Nucleoside diphosphate kinase A
NME3;Nucleoside diphosphate kinase 3
NMI;N-myc-interactor
NMNAT1;Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1
NMRK2;Nicotinamide riboside kinase 2
NMT1;Glycylpeptide N-tetradecanoyltransferase 1
NOMO1;Nodal modulator 1
NOP56;Nucleolar protein 56
"NOS1;Nitric oxide synthase, brain"
"NOS2;Nitric oxide synthase, inducible"
"NOS3;Nitric oxide synthase, endothelial"
NOTCH1;Neurogenic locus notch homolog protein 1
NOTCH2;Neurogenic locus notch homolog protein 2
NOTCH3;Neurogenic locus notch homolog protein 3
NPC2;NPC intracellular cholesterol transporter 2
NPDC1;Neural proliferation differentiation and control protein 1
NPHS1;Nephrin
NPHS2;Podocin
NPL;N-acetylneuraminate lyase
NPM1;Nucleophosmin
NPPB;Natriuretic peptides B
NPPC;C-type natriuretic peptide
NPR1;Atrial natriuretic peptide receptor 1
NPTN;Neuroplastin
NPTX1;Neuronal pentraxin-1
NPTX2;Neuronal pentraxin-2
NPTXR;Neuronal pentraxin receptor
NPY;Pro-neuropeptide Y
NRCAM;Neuronal cell adhesion molecule
NRGN;Neurogranin
NRN1;Neuritin
NRP1;Neuropilin-1
NRP2;Neuropilin-2
NRTN;Neurturin
NRXN3;Neurexin-3
NSFL1C;NSFL1 cofactor p47
"NT5C;5'(3')-deoxyribonucleotidase, cytosolic type"
NT5C1A;Cytosolic 5'-nucleotidase 1A
NT5C3A;Cytosolic 5'-nucleotidase 3A
NT5E;5'-nucleotidase
NTF3;Neurotrophin-3
NTF4;Neurotrophin-4
NTproBNP;N-terminal prohormone of brain natriuretic peptide
NTRK2;BDNF/NT-3 growth factors receptor
NTRK3;NT-3 growth factor receptor
NUB1;NEDD8 ultimate buster 1
NUBP1;Cytosolic Fe-S cluster assembly factor NUBP1
NUCB2;Nucleobindin-2
NUDC;Nuclear migration protein nudC
NUDT10;Diphosphoinositol polyphosphate phosphohydrolase 3-alpha
NUDT15;Nucleotide triphosphate diphosphatase NUDT15
NUDT16;U8 snoRNA-decapping enzyme
NUDT2;Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]
NUDT5;ADP-sugar pyrophosphatase
NUMB;Protein numb homolog
NUP50;Nuclear pore complex protein Nup50
NXPE4;NXPE family member 4
NXPH1;Neurexophilin-1
NXPH3;Neurexophilin-3
OBP2B;Odorant-binding protein 2b
OCLN;Occludin
ODAM;Odontogenic ameloblast-associated protein
OFD1;Oral-facial-digital syndrome 1 protein
OGA;Protein O-GlcNAcase
OGFR;Opioid growth factor receptor
OGN;Mimecan
OGT;UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
OLFM4;Olfactomedin-4
OLR1;Oxidized low-density lipoprotein receptor 1
OMD;Osteomodulin
OMG;Oligodendrocyte-myelin glycoprotein
OMP;Olfactory marker protein
OPHN1;Oligophrenin-1
OPLAH;5-oxoprolinase
OPTC;Opticin
ORM1;Alpha-1-acid glycoprotein 1
OSBPL2;Oxysterol-binding protein-related protein 2
OSCAR;Osteoclast-associated immunoglobulin-like receptor
OSM;Oncostatin-M
OSMR;Oncostatin-M-specific receptor subunit beta
OSTN;Osteocrin
OTOA;Otoancorin
OTUD6B;Deubiquitinase OTUD6B
OTUD7B;OTU domain-containing protein 7B
"OXCT1;Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial"
OXT;Oxytocin-neurophysin 1
P4HB;Protein disulfide-isomerase
PACS2;Phosphofurin acidic cluster sorting protein 2
PADI2;Protein-arginine deiminase type-2
PADI4;Protein-arginine deiminase type-4
PAEP;Glycodelin
PAFAH1B3;Platelet-activating factor acetylhydrolase IB subunit alpha1
"PAFAH2;Platelet-activating factor acetylhydrolase 2, cytoplasmic"
PAG1;Phosphoprotein associated with glycosphingolipid-enriched microdomains 1
PAGR1;PAXIP1-associated glutamate-rich protein 1
PAIP2B;Polyadenylate-binding protein-interacting protein 2B
PAK4;Serine/threonine-protein kinase PAK 4
PALLD;Palladin
PALM;Paralemmin-1
PALM2;Paralemmin-2
PALM3;Paralemmin-3
PAM;Peptidyl-glycine alpha-amidating monooxygenase
PAMR1;Inactive serine protease PAMR1
PAPPA;Pappalysin-1
PARD3;Partitioning defective 3 homolog
PARK7;Parkinson disease protein 7
PARP1;Poly [ADP-ribose] polymerase 1
PAXX;Protein PAXX
PBK;Lymphokine-activated killer T-cell-originated protein kinase
PBLD;Phenazine biosynthesis-like domain-containing protein
PBXIP1;Pre-B-cell leukemia transcription factor-interacting protein 1
PCARE;Photoreceptor cilium actin regulator
PCBD1;Pterin-4-alpha-carbinolamine dehydratase
PCBP2;Poly(rC)-binding protein 2
PCDH1;Protocadherin-1
PCDH12;Protocadherin-12
PCDH17;Protocadherin-17
PCDH7;Protocadherin-7
